Candidate ID,Interview Score,Reference Check,Communication Skill Level,Cultural Fit,Preferred Work Environment,Date of Interview,Date of Decision,Hired
775,1,Positive,Average,Fit,In-Office,6/15/2023,7/2/2023,No
776,7,Neutral,Below Average,Strong Fit,Hybrid,8/16/2023,9/2/2023,No
777,4,Neutral,Excellent,Slight Mismatch,Field Work,3/22/2023,4/11/2023,No
778,5,Negative,Good,Strong Mismatch,Flexible,3/30/2023,4/21/2023,No
779,9,Neutral,Excellent,Neutral,In-Office,6/8/2023,6/30/2023,No
780,2,Negative,Excellent,Strong Mismatch,Flexible,3/22/2023,4/8/2023,No
781,10,Negative,Excellent,Slight Mismatch,Field Work,8/9/2023,8/24/2023,No
782,1,Positive,Below Average,Fit,Flexible,3/15/2023,3/31/2023,No
783,9,Negative,Excellent,Strong Fit,Field Work,5/17/2023,6/4/2023,Yes
784,4,Positive,Average,Neutral,Hybrid,6/7/2023,6/23/2023,No
785,3,Positive,Good,Strong Mismatch,Hybrid,6/14/2023,6/29/2023,No
786,7,Negative,Average,Slight Mismatch,In-Office,6/8/2023,6/24/2023,No
787,6,Positive,Below Average,Strong Fit,Flexible,7/27/2023,8/18/2023,No
788,6,Positive,Excellent,Fit,Field Work,3/1/2023,3/17/2023,No
789,9,Negative,Poor,Slight Mismatch,Field Work,2/1/2023,2/22/2023,No
790,6,Positive,Good,Fit,Field Work,3/22/2023,4/11/2023,No
791,2,Negative,Excellent,Strong Mismatch,Field Work,4/19/2023,5/9/2023,No
792,8,Negative,Poor,Fit,Flexible,5/11/2023,5/27/2023,No
793,8,Neutral,Average,Fit,Field Work,4/26/2023,5/16/2023,No
794,10,Neutral,Good,Slight Mismatch,In-Office,7/27/2023,8/18/2023,Yes
795,9,Positive,Below Average,Strong Fit,Hybrid,1/18/2023,2/7/2023,No
796,2,Positive,Below Average,Strong Fit,Field Work,8/9/2023,8/27/2023,No
797,2,Neutral,Poor,Slight Mismatch,Fully Remote,5/24/2023,6/13/2023,No
798,10,Positive,Excellent,Slight Mismatch,Fully Remote,5/10/2023,5/26/2023,No
799,3,Neutral,Below Average,Slight Mismatch,Field Work,6/8/2023,6/25/2023,No
800,8,Negative,Excellent,Slight Mismatch,Fully Remote,2/23/2023,3/11/2023,No
801,5,Positive,Poor,Slight Mismatch,Hybrid,1/19/2023,2/3/2023,No
802,5,Negative,Poor,Neutral,Field Work,6/29/2023,7/17/2023,No
803,9,Positive,Below Average,Slight Mismatch,Fully Remote,6/8/2023,6/23/2023,Yes
804,8,Positive,Excellent,Neutral,Field Work,1/26/2023,2/14/2023,No
805,4,Negative,Good,Strong Mismatch,Fully Remote,5/31/2023,6/21/2023,No
806,7,Positive,Average,Neutral,Hybrid,3/23/2023,4/14/2023,No
807,2,Positive,Poor,Fit,Flexible,1/18/2023,2/6/2023,No
808,7,Positive,Poor,Slight Mismatch,Flexible,2/16/2023,3/7/2023,No
809,5,Negative,Good,Fit,Fully Remote,8/16/2023,9/2/2023,No
810,3,Neutral,Below Average,Strong Mismatch,In-Office,1/12/2023,1/30/2023,No
811,8,Neutral,Excellent,Slight Mismatch,In-Office,5/3/2023,5/18/2023,No
812,10,Neutral,Poor,Fit,Hybrid,2/2/2023,2/18/2023,No
813,8,Positive,Average,Strong Mismatch,Flexible,2/9/2023,2/28/2023,No
814,5,Negative,Excellent,Strong Mismatch,Hybrid,6/15/2023,7/7/2023,No
815,10,Negative,Average,Neutral,Fully Remote,1/11/2023,2/2/2023,No
816,7,Negative,Average,Slight Mismatch,Hybrid,3/30/2023,4/14/2023,No
817,7,Positive,Good,Strong Fit,Field Work,7/27/2023,8/13/2023,No
818,9,Negative,Below Average,Fit,Flexible,6/7/2023,6/29/2023,No
819,9,Neutral,Average,Fit,Field Work,1/26/2023,2/11/2023,No
820,2,Negative,Poor,Strong Mismatch,Fully Remote,3/1/2023,3/19/2023,No
821,8,Neutral,Excellent,Strong Mismatch,Flexible,1/18/2023,2/6/2023,Yes
822,9,Neutral,Good,Strong Mismatch,In-Office,4/20/2023,5/8/2023,No
823,8,Neutral,Below Average,Neutral,Flexible,1/5/2023,1/27/2023,No
824,8,Neutral,Good,Neutral,Fully Remote,3/1/2023,3/22/2023,No
825,10,Neutral,Excellent,Strong Mismatch,Fully Remote,6/21/2023,7/6/2023,Yes
826,2,Positive,Excellent,Neutral,Fully Remote,6/28/2023,7/20/2023,No
827,5,Negative,Excellent,Strong Mismatch,In-Office,3/2/2023,3/22/2023,No
828,1,Negative,Average,Slight Mismatch,Flexible,3/30/2023,4/18/2023,No
829,6,Positive,Average,Slight Mismatch,Fully Remote,4/13/2023,5/1/2023,No
830,4,Negative,Below Average,Slight Mismatch,In-Office,8/30/2023,9/21/2023,No
831,4,Negative,Average,Strong Mismatch,Flexible,6/8/2023,6/25/2023,No
832,1,Positive,Below Average,Neutral,Fully Remote,2/9/2023,3/2/2023,No
833,3,Negative,Below Average,Strong Fit,Fully Remote,7/13/2023,7/30/2023,No
834,6,Neutral,Poor,Neutral,Flexible,1/4/2023,1/20/2023,No
835,1,Neutral,Average,Strong Mismatch,Flexible,6/15/2023,7/3/2023,No
836,6,Neutral,Average,Slight Mismatch,Flexible,6/29/2023,7/17/2023,No
837,8,Positive,Poor,Neutral,Field Work,1/25/2023,2/16/2023,Yes
838,9,Negative,Good,Strong Fit,Hybrid,8/30/2023,9/17/2023,No
839,8,Negative,Below Average,Slight Mismatch,Field Work,2/2/2023,2/20/2023,No
840,1,Negative,Good,Fit,Flexible,5/4/2023,5/22/2023,No
841,4,Positive,Excellent,Strong Mismatch,Hybrid,1/26/2023,2/11/2023,No
842,10,Negative,Excellent,Slight Mismatch,Fully Remote,6/21/2023,7/7/2023,No
843,4,Positive,Poor,Fit,In-Office,8/30/2023,9/20/2023,No
844,5,Negative,Poor,Strong Fit,In-Office,5/17/2023,6/4/2023,No
845,1,Negative,Excellent,Strong Fit,Flexible,3/16/2023,4/2/2023,No
846,7,Neutral,Poor,Strong Mismatch,Hybrid,2/2/2023,2/18/2023,No
847,1,Positive,Below Average,Neutral,Fully Remote,8/3/2023,8/21/2023,No
848,7,Neutral,Good,Strong Fit,Hybrid,8/16/2023,9/2/2023,No
849,3,Negative,Average,Slight Mismatch,Flexible,6/14/2023,7/6/2023,No
850,10,Negative,Below Average,Fit,Fully Remote,2/16/2023,3/3/2023,No
851,1,Negative,Poor,Fit,In-Office,8/9/2023,8/28/2023,No
852,10,Neutral,Good,Slight Mismatch,In-Office,4/27/2023,5/17/2023,No
853,6,Negative,Good,Fit,Field Work,3/8/2023,3/23/2023,No
854,6,Negative,Poor,Neutral,Field Work,3/16/2023,4/7/2023,No
855,1,Negative,Poor,Fit,Fully Remote,3/2/2023,3/21/2023,No
856,10,Positive,Below Average,Strong Fit,Flexible,6/28/2023,7/17/2023,No
857,2,Neutral,Excellent,Neutral,Hybrid,8/23/2023,9/9/2023,No
858,5,Positive,Poor,Strong Fit,Field Work,6/29/2023,7/18/2023,No
859,1,Negative,Below Average,Slight Mismatch,Hybrid,8/9/2023,8/26/2023,No
860,10,Positive,Below Average,Fit,Field Work,5/10/2023,5/30/2023,No
861,9,Negative,Good,Fit,In-Office,3/2/2023,3/24/2023,No
862,9,Positive,Excellent,Fit,In-Office,5/24/2023,6/11/2023,No
863,6,Positive,Average,Strong Fit,Field Work,8/16/2023,9/4/2023,No
864,3,Negative,Excellent,Neutral,Field Work,5/17/2023,6/4/2023,No
865,9,Neutral,Below Average,Slight Mismatch,Fully Remote,2/22/2023,3/13/2023,No
866,7,Negative,Excellent,Strong Fit,Flexible,6/21/2023,7/8/2023,No
867,5,Negative,Good,Fit,Field Work,8/31/2023,9/20/2023,No
868,5,Neutral,Excellent,Fit,Flexible,5/18/2023,6/5/2023,No
869,2,Neutral,Excellent,Slight Mismatch,In-Office,7/27/2023,8/11/2023,No
870,1,Neutral,Average,Fit,Field Work,4/27/2023,5/16/2023,No
871,3,Negative,Average,Fit,Fully Remote,3/2/2023,3/17/2023,No
872,9,Positive,Good,Slight Mismatch,Fully Remote,8/30/2023,9/14/2023,No
873,10,Neutral,Below Average,Neutral,In-Office,7/27/2023,8/12/2023,Yes
874,5,Negative,Good,Slight Mismatch,Fully Remote,5/3/2023,5/18/2023,No
875,3,Neutral,Average,Strong Mismatch,Field Work,8/31/2023,9/16/2023,No
876,9,Negative,Poor,Strong Fit,Flexible,7/6/2023,7/24/2023,Yes
877,3,Negative,Poor,Neutral,Flexible,5/31/2023,6/16/2023,No
878,2,Positive,Below Average,Strong Mismatch,In-Office,3/16/2023,4/5/2023,No
879,9,Positive,Average,Strong Mismatch,Fully Remote,3/9/2023,3/24/2023,Yes
880,1,Negative,Average,Strong Fit,In-Office,6/14/2023,7/1/2023,Yes
881,4,Neutral,Good,Fit,Field Work,5/24/2023,6/15/2023,No
882,1,Neutral,Average,Strong Mismatch,In-Office,2/16/2023,3/4/2023,No
883,10,Positive,Excellent,Fit,Fully Remote,4/12/2023,5/1/2023,No
884,9,Positive,Excellent,Strong Mismatch,Hybrid,2/8/2023,2/28/2023,Yes
885,7,Neutral,Good,Slight Mismatch,Hybrid,7/27/2023,8/13/2023,No
886,8,Negative,Excellent,Strong Fit,Hybrid,3/9/2023,3/25/2023,No
887,2,Positive,Average,Slight Mismatch,Flexible,6/28/2023,7/18/2023,No
888,1,Positive,Good,Strong Mismatch,In-Office,2/15/2023,3/3/2023,No
889,9,Positive,Below Average,Slight Mismatch,Flexible,1/19/2023,2/7/2023,No
890,7,Positive,Excellent,Neutral,Flexible,8/23/2023,9/7/2023,No
891,1,Neutral,Below Average,Slight Mismatch,Field Work,6/1/2023,6/17/2023,No
892,6,Negative,Average,Strong Fit,Fully Remote,2/8/2023,3/1/2023,No
893,9,Negative,Excellent,Slight Mismatch,In-Office,3/8/2023,3/24/2023,No
894,2,Negative,Good,Fit,In-Office,2/8/2023,2/24/2023,No
895,10,Negative,Poor,Fit,Field Work,8/9/2023,8/31/2023,No
896,8,Positive,Average,Slight Mismatch,In-Office,3/16/2023,4/6/2023,No
897,1,Neutral,Below Average,Neutral,Flexible,2/8/2023,2/23/2023,No
898,6,Neutral,Good,Slight Mismatch,Flexible,4/5/2023,4/23/2023,No
899,7,Neutral,Below Average,Fit,In-Office,1/5/2023,1/21/2023,No
900,6,Negative,Excellent,Neutral,Hybrid,1/19/2023,2/9/2023,No
901,10,Neutral,Poor,Fit,Field Work,7/12/2023,8/2/2023,No
902,2,Neutral,Below Average,Neutral,Flexible,6/15/2023,7/7/2023,No
903,3,Positive,Poor,Fit,Flexible,4/6/2023,4/22/2023,No
904,4,Neutral,Good,Neutral,In-Office,4/12/2023,5/2/2023,No
905,4,Positive,Poor,Fit,Hybrid,8/24/2023,9/12/2023,No
906,8,Negative,Good,Neutral,Hybrid,5/24/2023,6/10/2023,No
907,1,Negative,Good,Strong Mismatch,Hybrid,1/18/2023,2/5/2023,No
908,8,Neutral,Average,Slight Mismatch,Flexible,2/1/2023,2/20/2023,Yes
909,5,Neutral,Excellent,Neutral,In-Office,4/6/2023,4/27/2023,No
910,6,Negative,Good,Neutral,Field Work,2/22/2023,3/13/2023,No
911,4,Negative,Average,Neutral,In-Office,7/27/2023,8/17/2023,No
912,9,Positive,Good,Fit,Field Work,3/1/2023,3/16/2023,No
913,6,Negative,Poor,Neutral,Field Work,8/2/2023,8/20/2023,No
914,8,Positive,Excellent,Strong Fit,Flexible,5/24/2023,6/11/2023,No
915,9,Negative,Below Average,Fit,Flexible,3/29/2023,4/13/2023,No
916,4,Positive,Average,Fit,Fully Remote,3/8/2023,3/24/2023,No
917,8,Positive,Poor,Neutral,Flexible,6/29/2023,7/20/2023,Yes
918,9,Negative,Below Average,Neutral,Fully Remote,2/8/2023,2/27/2023,Yes
919,2,Positive,Poor,Fit,Field Work,2/22/2023,3/15/2023,No
920,9,Positive,Good,Fit,Flexible,2/8/2023,2/25/2023,No
921,2,Positive,Average,Strong Fit,Fully Remote,4/26/2023,5/15/2023,No
922,8,Neutral,Excellent,Neutral,Field Work,3/22/2023,4/8/2023,Yes
923,8,Neutral,Below Average,Strong Fit,Field Work,3/1/2023,3/20/2023,No
924,6,Neutral,Poor,Neutral,Field Work,2/2/2023,2/19/2023,No
925,1,Neutral,Average,Neutral,Field Work,3/2/2023,3/18/2023,No
926,10,Positive,Excellent,Slight Mismatch,Flexible,3/23/2023,4/10/2023,No
927,9,Negative,Average,Strong Fit,Hybrid,6/22/2023,7/10/2023,No
928,5,Negative,Excellent,Fit,In-Office,2/9/2023,3/2/2023,No
929,6,Neutral,Good,Strong Fit,In-Office,1/11/2023,1/28/2023,No
930,6,Negative,Poor,Neutral,Fully Remote,4/19/2023,5/11/2023,No
931,8,Positive,Poor,Strong Mismatch,Fully Remote,3/15/2023,4/4/2023,No
932,10,Neutral,Excellent,Fit,In-Office,8/3/2023,8/23/2023,No
933,3,Positive,Excellent,Slight Mismatch,Hybrid,4/27/2023,5/18/2023,No
934,10,Positive,Poor,Strong Mismatch,In-Office,4/6/2023,4/27/2023,No
935,8,Neutral,Below Average,Strong Mismatch,Hybrid,5/4/2023,5/19/2023,No
936,7,Neutral,Below Average,Neutral,Field Work,3/30/2023,4/17/2023,No
937,1,Positive,Below Average,Neutral,Field Work,1/4/2023,1/25/2023,No
938,4,Neutral,Average,Fit,In-Office,3/15/2023,3/31/2023,No
939,6,Negative,Poor,Strong Fit,Fully Remote,5/25/2023,6/11/2023,No
940,10,Neutral,Average,Fit,Field Work,5/3/2023,5/18/2023,No
941,4,Negative,Poor,Strong Fit,Fully Remote,2/9/2023,3/1/2023,No
942,10,Positive,Excellent,Strong Mismatch,Hybrid,2/15/2023,3/9/2023,No
943,9,Neutral,Average,Strong Fit,Flexible,6/22/2023,7/12/2023,No
944,1,Neutral,Average,Strong Fit,In-Office,8/10/2023,8/25/2023,No
945,9,Negative,Average,Strong Mismatch,Hybrid,4/26/2023,5/16/2023,No
946,1,Neutral,Excellent,Fit,Field Work,3/23/2023,4/9/2023,No
947,9,Neutral,Poor,Strong Mismatch,Fully Remote,2/1/2023,2/17/2023,Yes
948,4,Neutral,Excellent,Fit,Field Work,4/19/2023,5/9/2023,No
949,7,Neutral,Poor,Slight Mismatch,Flexible,8/17/2023,9/6/2023,No
950,3,Positive,Excellent,Strong Fit,Flexible,4/19/2023,5/10/2023,No
951,6,Neutral,Poor,Strong Mismatch,Flexible,7/27/2023,8/16/2023,No
952,9,Neutral,Poor,Neutral,Flexible,3/22/2023,4/13/2023,Yes
953,2,Neutral,Below Average,Slight Mismatch,Hybrid,5/10/2023,6/1/2023,No
954,5,Neutral,Good,Slight Mismatch,Field Work,5/31/2023,6/21/2023,No
955,3,Positive,Excellent,Fit,Hybrid,3/8/2023,3/28/2023,No
956,10,Neutral,Poor,Strong Fit,Hybrid,2/23/2023,3/15/2023,No
957,3,Neutral,Excellent,Strong Mismatch,Hybrid,5/17/2023,6/6/2023,No
958,7,Neutral,Good,Strong Mismatch,Flexible,6/22/2023,7/11/2023,No
959,10,Negative,Average,Strong Mismatch,Hybrid,3/8/2023,3/25/2023,No
960,1,Neutral,Good,Neutral,Fully Remote,1/12/2023,2/2/2023,No
961,4,Negative,Poor,Strong Fit,Flexible,6/28/2023,7/19/2023,No
962,10,Neutral,Excellent,Neutral,Flexible,5/3/2023,5/18/2023,No
963,7,Neutral,Excellent,Strong Fit,Field Work,4/27/2023,5/14/2023,No
964,4,Neutral,Good,Slight Mismatch,In-Office,4/12/2023,5/3/2023,No
965,7,Positive,Poor,Slight Mismatch,Fully Remote,7/6/2023,7/27/2023,No
966,8,Positive,Poor,Slight Mismatch,Field Work,8/23/2023,9/11/2023,No
967,10,Negative,Below Average,Strong Mismatch,Field Work,7/5/2023,7/25/2023,No
968,2,Neutral,Average,Fit,In-Office,5/18/2023,6/2/2023,No
969,4,Negative,Average,Strong Mismatch,Flexible,1/18/2023,2/5/2023,No
970,10,Positive,Good,Slight Mismatch,Fully Remote,1/18/2023,2/8/2023,No
971,7,Negative,Good,Strong Fit,In-Office,3/1/2023,3/21/2023,No
972,10,Neutral,Poor,Slight Mismatch,In-Office,3/1/2023,3/19/2023,No
973,4,Neutral,Excellent,Fit,Hybrid,8/2/2023,8/24/2023,No
974,5,Negative,Good,Neutral,Fully Remote,2/8/2023,2/23/2023,No
975,5,Neutral,Average,Neutral,In-Office,2/16/2023,3/10/2023,No
976,1,Positive,Average,Slight Mismatch,Hybrid,4/26/2023,5/17/2023,No
977,2,Negative,Good,Slight Mismatch,Flexible,4/27/2023,5/13/2023,No
978,3,Positive,Below Average,Fit,Fully Remote,8/10/2023,8/27/2023,No
979,4,Negative,Average,Strong Mismatch,In-Office,2/2/2023,2/18/2023,No
980,7,Negative,Average,Neutral,Field Work,5/11/2023,5/29/2023,No
981,7,Neutral,Below Average,Slight Mismatch,Field Work,2/9/2023,2/26/2023,No
982,5,Negative,Poor,Fit,In-Office,5/3/2023,5/23/2023,No
983,8,Neutral,Below Average,Neutral,Flexible,7/26/2023,8/12/2023,No
984,1,Neutral,Poor,Neutral,In-Office,4/26/2023,5/11/2023,No
985,10,Positive,Excellent,Strong Mismatch,Field Work,5/31/2023,6/18/2023,No
986,9,Negative,Poor,Neutral,In-Office,2/8/2023,2/25/2023,No
987,6,Positive,Good,Fit,In-Office,1/12/2023,2/3/2023,No
988,8,Positive,Excellent,Strong Fit,Hybrid,6/14/2023,7/1/2023,No
989,8,Positive,Average,Slight Mismatch,In-Office,7/13/2023,7/29/2023,Yes
990,6,Neutral,Below Average,Neutral,In-Office,2/16/2023,3/8/2023,No
991,2,Neutral,Good,Fit,Fully Remote,6/28/2023,7/15/2023,No
992,8,Neutral,Good,Neutral,Hybrid,4/5/2023,4/20/2023,No
993,8,Neutral,Good,Slight Mismatch,Flexible,6/21/2023,7/12/2023,No
994,8,Neutral,Poor,Strong Mismatch,Fully Remote,4/12/2023,5/1/2023,No
995,4,Positive,Average,Fit,Flexible,5/11/2023,5/31/2023,No
996,9,Negative,Average,Neutral,Flexible,3/8/2023,3/29/2023,No
997,2,Positive,Below Average,Strong Fit,In-Office,3/15/2023,4/2/2023,No
998,7,Negative,Average,Strong Mismatch,In-Office,6/21/2023,7/6/2023,No
999,3,Negative,Excellent,Neutral,Fully Remote,1/19/2023,2/3/2023,No
1000,5,Negative,Excellent,Strong Mismatch,Flexible,8/30/2023,9/15/2023,No
1001,9,Neutral,Poor,Strong Mismatch,Field Work,2/23/2023,3/17/2023,No
1002,6,Positive,Below Average,Neutral,Flexible,8/3/2023,8/25/2023,No
1003,8,Positive,Below Average,Slight Mismatch,Hybrid,8/30/2023,9/19/2023,No
1004,8,Negative,Excellent,Slight Mismatch,Field Work,4/13/2023,5/4/2023,Yes
1005,5,Positive,Below Average,Fit,Field Work,8/3/2023,8/20/2023,No
1006,5,Neutral,Poor,Strong Mismatch,In-Office,6/7/2023,6/24/2023,No
1007,6,Negative,Average,Neutral,Flexible,8/24/2023,9/14/2023,No
1008,6,Positive,Good,Strong Fit,Hybrid,8/24/2023,9/10/2023,No
1009,6,Neutral,Below Average,Slight Mismatch,Field Work,6/29/2023,7/19/2023,No
1010,9,Neutral,Below Average,Slight Mismatch,Hybrid,8/31/2023,9/21/2023,Yes
1011,1,Positive,Below Average,Fit,In-Office,5/25/2023,6/9/2023,No
1012,6,Positive,Below Average,Slight Mismatch,In-Office,3/9/2023,3/24/2023,No
1013,2,Negative,Below Average,Strong Fit,Hybrid,5/18/2023,6/3/2023,No
1014,7,Positive,Below Average,Slight Mismatch,In-Office,3/15/2023,3/31/2023,No
1015,8,Negative,Below Average,Strong Mismatch,Hybrid,7/20/2023,8/6/2023,No
1016,7,Neutral,Below Average,Fit,Field Work,5/31/2023,6/22/2023,No
1017,1,Neutral,Excellent,Slight Mismatch,Fully Remote,1/4/2023,1/21/2023,No
1018,10,Negative,Excellent,Fit,In-Office,4/27/2023,5/12/2023,Yes
1019,5,Positive,Below Average,Strong Fit,In-Office,2/16/2023,3/5/2023,No
1020,8,Positive,Excellent,Fit,Field Work,8/23/2023,9/11/2023,No
1021,5,Negative,Below Average,Neutral,Field Work,6/15/2023,7/6/2023,No
1022,9,Positive,Excellent,Strong Fit,Flexible,3/9/2023,3/30/2023,No
1023,3,Positive,Below Average,Neutral,Flexible,1/12/2023,2/1/2023,No
1024,5,Negative,Excellent,Fit,Hybrid,1/12/2023,1/28/2023,No
1025,4,Neutral,Poor,Slight Mismatch,Flexible,8/16/2023,8/31/2023,No
1026,1,Neutral,Below Average,Strong Fit,Hybrid,5/4/2023,5/20/2023,No
1027,9,Positive,Below Average,Fit,Hybrid,3/1/2023,3/17/2023,No
1028,4,Positive,Poor,Strong Mismatch,In-Office,5/17/2023,6/3/2023,No
1029,8,Negative,Average,Strong Fit,Field Work,7/26/2023,8/12/2023,No
1030,7,Negative,Excellent,Fit,Flexible,8/30/2023,9/21/2023,No
1031,3,Positive,Below Average,Fit,Field Work,2/1/2023,2/19/2023,No
1032,6,Neutral,Below Average,Strong Mismatch,Fully Remote,4/19/2023,5/5/2023,No
1033,3,Neutral,Excellent,Neutral,Flexible,8/31/2023,9/22/2023,No
1034,7,Neutral,Poor,Slight Mismatch,In-Office,5/24/2023,6/14/2023,No
1035,1,Neutral,Average,Fit,Flexible,4/19/2023,5/8/2023,No
1036,5,Positive,Excellent,Strong Mismatch,Fully Remote,5/3/2023,5/23/2023,No
1037,1,Neutral,Below Average,Neutral,In-Office,6/21/2023,7/11/2023,No
1038,3,Neutral,Poor,Neutral,In-Office,5/11/2023,6/2/2023,No
1039,10,Negative,Below Average,Fit,In-Office,3/1/2023,3/22/2023,No
1040,3,Negative,Poor,Strong Mismatch,In-Office,6/14/2023,7/3/2023,No
1041,7,Neutral,Excellent,Strong Fit,In-Office,7/5/2023,7/23/2023,No
1042,5,Neutral,Average,Strong Mismatch,Field Work,2/23/2023,3/16/2023,No
1043,8,Negative,Good,Neutral,In-Office,2/22/2023,3/15/2023,Yes
1044,10,Negative,Below Average,Neutral,Hybrid,3/16/2023,3/31/2023,No
1045,9,Neutral,Excellent,Strong Mismatch,In-Office,1/26/2023,2/14/2023,No
1046,8,Positive,Excellent,Slight Mismatch,Flexible,8/16/2023,9/4/2023,Yes
1047,10,Negative,Below Average,Fit,Fully Remote,8/31/2023,9/15/2023,No
1048,5,Positive,Below Average,Fit,Fully Remote,8/31/2023,9/22/2023,No
1049,1,Negative,Excellent,Strong Mismatch,Hybrid,1/18/2023,2/3/2023,No
1050,2,Positive,Average,Strong Fit,Hybrid,2/1/2023,2/18/2023,No
1051,6,Positive,Good,Fit,Hybrid,4/19/2023,5/7/2023,No
1052,5,Neutral,Below Average,Strong Mismatch,Fully Remote,8/23/2023,9/9/2023,No
1053,2,Neutral,Poor,Strong Mismatch,Flexible,5/24/2023,6/8/2023,No
1054,1,Negative,Below Average,Strong Mismatch,Flexible,4/20/2023,5/9/2023,No
1055,9,Neutral,Poor,Neutral,Fully Remote,7/5/2023,7/24/2023,No
1056,8,Positive,Average,Strong Mismatch,Field Work,3/22/2023,4/8/2023,No
1057,10,Negative,Below Average,Slight Mismatch,Flexible,7/20/2023,8/10/2023,No
1058,4,Neutral,Below Average,Slight Mismatch,Field Work,3/22/2023,4/9/2023,No
1059,5,Positive,Poor,Strong Fit,Hybrid,3/29/2023,4/16/2023,No
1060,10,Negative,Average,Strong Mismatch,Hybrid,5/11/2023,5/31/2023,No
1061,5,Neutral,Good,Neutral,Flexible,4/13/2023,5/5/2023,No
1062,5,Positive,Poor,Slight Mismatch,In-Office,5/11/2023,6/1/2023,No
1063,4,Negative,Poor,Strong Mismatch,Hybrid,1/12/2023,1/30/2023,No
1064,2,Neutral,Good,Neutral,Field Work,8/31/2023,9/17/2023,No
1065,3,Positive,Poor,Strong Fit,Fully Remote,3/30/2023,4/17/2023,No
1066,9,Neutral,Average,Neutral,In-Office,5/17/2023,6/2/2023,No
1067,8,Negative,Poor,Fit,Flexible,4/5/2023,4/25/2023,No
1068,2,Neutral,Poor,Neutral,In-Office,8/3/2023,8/21/2023,No
1069,5,Negative,Good,Fit,Field Work,3/15/2023,4/6/2023,No
1070,9,Negative,Excellent,Fit,In-Office,3/1/2023,3/22/2023,No
1071,4,Positive,Average,Fit,In-Office,3/23/2023,4/9/2023,No
1072,8,Positive,Below Average,Strong Fit,Field Work,1/25/2023,2/11/2023,No
1073,9,Negative,Good,Neutral,Fully Remote,8/23/2023,9/11/2023,No
1074,3,Neutral,Average,Strong Fit,Flexible,4/26/2023,5/16/2023,No
1075,9,Positive,Below Average,Neutral,In-Office,3/23/2023,4/7/2023,No
1076,6,Positive,Below Average,Fit,Fully Remote,6/8/2023,6/30/2023,No
1077,10,Neutral,Excellent,Fit,Flexible,4/5/2023,4/24/2023,No
1078,8,Positive,Below Average,Strong Fit,Field Work,2/9/2023,3/3/2023,Yes
1079,1,Neutral,Excellent,Strong Fit,In-Office,6/21/2023,7/11/2023,No
1080,10,Neutral,Poor,Strong Mismatch,Fully Remote,1/26/2023,2/14/2023,No
1081,7,Negative,Good,Fit,In-Office,1/18/2023,2/8/2023,No
1082,7,Neutral,Below Average,Slight Mismatch,In-Office,3/30/2023,4/15/2023,No
1083,9,Positive,Excellent,Neutral,Hybrid,3/9/2023,3/30/2023,No
1084,8,Positive,Average,Slight Mismatch,Fully Remote,4/12/2023,5/3/2023,No
1085,3,Negative,Average,Fit,In-Office,7/13/2023,7/28/2023,No
1086,8,Negative,Good,Fit,In-Office,2/1/2023,2/23/2023,No
1087,1,Positive,Poor,Strong Fit,Hybrid,6/21/2023,7/9/2023,No
1088,8,Neutral,Average,Strong Fit,Flexible,6/22/2023,7/13/2023,No
1089,3,Negative,Excellent,Strong Fit,Fully Remote,5/25/2023,6/10/2023,No
1090,1,Neutral,Average,Fit,Flexible,2/8/2023,2/24/2023,No
1091,10,Neutral,Below Average,Neutral,Fully Remote,8/16/2023,9/4/2023,Yes
1092,5,Negative,Average,Fit,In-Office,8/3/2023,8/25/2023,No
1093,4,Positive,Good,Slight Mismatch,Fully Remote,2/16/2023,3/10/2023,No
1094,5,Negative,Poor,Strong Mismatch,Field Work,5/10/2023,6/1/2023,No
1095,5,Positive,Average,Fit,In-Office,2/2/2023,2/18/2023,No
1096,10,Positive,Poor,Fit,Field Work,6/21/2023,7/11/2023,Yes
1097,5,Neutral,Poor,Strong Mismatch,Hybrid,6/29/2023,7/15/2023,No
1098,2,Positive,Poor,Slight Mismatch,Fully Remote,3/16/2023,4/1/2023,No
1099,3,Negative,Excellent,Neutral,Field Work,6/1/2023,6/20/2023,No
1100,4,Negative,Poor,Slight Mismatch,Fully Remote,2/8/2023,2/26/2023,No
1101,2,Positive,Good,Fit,Hybrid,3/2/2023,3/21/2023,No
1102,4,Positive,Good,Strong Fit,Fully Remote,2/9/2023,2/25/2023,No
1103,1,Positive,Below Average,Slight Mismatch,Field Work,1/11/2023,1/26/2023,No
1104,7,Neutral,Below Average,Strong Mismatch,Fully Remote,7/26/2023,8/14/2023,No
1105,2,Negative,Average,Neutral,Hybrid,6/8/2023,6/28/2023,No
1106,1,Neutral,Average,Strong Fit,Flexible,8/9/2023,8/27/2023,No
1107,1,Positive,Average,Slight Mismatch,Field Work,6/21/2023,7/9/2023,No
1108,6,Neutral,Excellent,Strong Mismatch,Fully Remote,8/31/2023,9/19/2023,No
1109,8,Negative,Average,Neutral,Field Work,4/13/2023,5/3/2023,Yes
1110,6,Neutral,Average,Slight Mismatch,Hybrid,8/31/2023,9/18/2023,No
1111,4,Positive,Average,Strong Mismatch,Field Work,5/4/2023,5/19/2023,No
1112,10,Positive,Excellent,Neutral,In-Office,7/5/2023,7/27/2023,Yes
